Summary stage 2000 (1998+)	Race recode (W, B, AI, API)	Year of diagnosis	Age recode with <1 year olds	Age-Adjusted Rate	Count	Population	Std Pop
Regional	Black	2006	70-74 years	89.8	182	202602	8725574
Regional	Black	2006	75-79 years	102.0	151	148109	7414559
Regional	Black	2006	80-84 years	127.2	128	100617	4900234
Regional	Black	2006	85+ years	101.2	85	84022	4259173
Regional	Black	2007	00 years	0.0	0	171087	3794901
Regional	Black	2007	01-04 years	0.0	0	650645	15191619
Regional	Black	2007	05-09 years	0.0	0	836558	19919840
Regional	Black	2007	10-14 years	0.0	0	913498	20056779
Regional	Black	2007	15-19 years	0.1	1	963705	19819518
Regional	Black	2007	20-24 years	0.5	4	811561	18257225
Regional	Black	2007	25-29 years	1.3	10	764675	17722067
Regional	Black	2007	30-34 years	1.7	12	700076	19511370
Regional	Black	2007	35-39 years	3.5	26	752111	22179956
Regional	Black	2007	40-44 years	8.0	62	774584	22479229
Regional	Black	2007	45-49 years	15.2	115	755114	19805793
Regional	Black	2007	50-54 years	25.9	171	659946	17224359
Regional	Black	2007	55-59 years	38.4	205	534000	13307234
Regional	Black	2007	60-64 years	53.6	198	369187	10654272
Regional	Black	2007	65-69 years	68.0	185	271926	9409940
Regional	Black	2007	70-74 years	93.0	192	206433	8725574
Regional	Black	2007	75-79 years	96.7	145	149925	7414559
Regional	Black	2007	80-84 years	108.7	111	102096	4900234
Regional	Black	2007	85+ years	116.7	102	87392	4259173
Regional	Black	2008	00 years	0.0	0	173111	3794901
Regional	Black	2008	01-04 years	0.0	0	668705	15191619
Regional	Black	2008	05-09 years	0.0	0	837955	19919840
Regional	Black	2008	10-14 years	0.0	0	900211	20056779
Regional	Black	2008	15-19 years	0.2	2	980961	19819518
Regional	Black	2008	20-24 years	0.0	0	827413	18257225
Regional	Black	2008	25-29 years	0.5	4	778920	17722067
Regional	Black	2008	30-34 years	1.0	7	706260	19511370
Regional	Black	2008	35-39 years	3.5	26	751071	22179956
Regional	Black	2008	40-44 years	5.4	41	765461	22479229
Regional	Black	2008	45-49 years	11.9	91	765511	19805793
Regional	Black	2008	50-54 years	26.2	180	686447	17224359
Regional	Black	2008	55-59 years	35.5	196	551763	13307234
Regional	Black	2008	60-64 years	42.4	167	394289	10654272
Regional	Black	2008	65-69 years	66.2	188	284118	9409940
Regional	Black	2008	70-74 years	86.8	183	210864	8725574
Regional	Black	2008	75-79 years	85.1	129	151628	7414559
Regional	Black	2008	80-84 years	104.4	108	103489	4900234
Regional	Black	2008	85+ years	98.5	89	90358	4259173
Regional	Black	2009	00 years	0.0	0	172114	3794901
Regional	Black	2009	01-04 years	0.0	0	686068	15191619
Regional	Black	2009	05-09 years	0.0	0	843883	19919840
Regional	Black	2009	10-14 years	0.0	0	889185	20056779
Regional	Black	2009	15-19 years	0.0	0	984716	19819518
Regional	Black	2009	20-24 years	0.0	0	849194	18257225
Regional	Black	2009	25-29 years	0.5	4	786040	17722067
Regional	Black	2009	30-34 years	1.4	10	725841	19511370
Regional	Black	2009	35-39 years	2.8	21	745093	22179956
Regional	Black	2009	40-44 years	7.7	58	752245	22479229
Regional	Black	2009	45-49 years	13.5	105	775798	19805793
Regional	Black	2009	50-54 years	24.7	175	707772	17224359
Regional	Black	2009	55-59 years	28.1	161	572621	13307234
Regional	Black	2009	60-64 years	47.7	202	423879	10654272
Regional	Black	2009	65-69 years	49.5	147	297051	9409940
Regional	Black	2009	70-74 years	84.1	182	216408	8725574
