Summary stage 2000 (1998+)	Sex	Year of diagnosis	Age recode with <1 year olds	Age-Adjusted Rate	Count	Population	Std Pop
Distant	Male	2002	50-54 years	12.9	325	2513170	17224359
Distant	Male	2002	55-59 years	20.8	413	1985879	13307234
Distant	Male	2002	60-64 years	31.1	450	1444771	10654272
Distant	Male	2002	65-69 years	40.4	462	1142257	9409940
Distant	Male	2002	70-74 years	52.8	521	986920	8725574
Distant	Male	2002	75-79 years	61.8	489	791847	7414559
Distant	Male	2002	80-84 years	76.1	397	521554	4900234
Distant	Male	2002	85+ years	70.7	239	338078	4259173
Distant	Male	2003	00 years	0.0	0	597416	3794901
Distant	Male	2003	01-04 years	0.0	0	2320222	15191619
Distant	Male	2003	05-09 years	0.0	0	2928348	19919840
Distant	Male	2003	10-14 years	0.0	0	3185783	20056779
Distant	Male	2003	15-19 years	0.2	5	3013055	19819518
Distant	Male	2003	20-24 years	0.2	7	2999362	18257225
Distant	Male	2003	25-29 years	0.4	12	2782231	17722067
Distant	Male	2003	30-34 years	0.9	28	3018949	19511370
Distant	Male	2003	35-39 years	1.8	56	3079866	22179956
Distant	Male	2003	40-44 years	3.5	112	3211591	22479229
Distant	Male	2003	45-49 years	7.4	222	2982780	19805793
Distant	Male	2003	50-54 years	13.3	341	2561004	17224359
Distant	Male	2003	55-59 years	18.3	380	2077558	13307234
Distant	Male	2003	60-64 years	28.1	429	1528167	10654272
Distant	Male	2003	65-69 years	44.5	521	1169972	9409940
Distant	Male	2003	70-74 years	53.4	525	982763	8725574
Distant	Male	2003	75-79 years	59.4	472	795261	7414559
Distant	Male	2003	80-84 years	70.3	377	536639	4900234
Distant	Male	2003	85+ years	64.8	228	351832	4259173
Distant	Male	2004	00 years	0.0	0	598427	3794901
Distant	Male	2004	01-04 years	0.0	0	2343022	15191619
Distant	Male	2004	05-09 years	0.0	0	2886210	19919840
Distant	Male	2004	10-14 years	0.0	0	3192788	20056779
Distant	Male	2004	15-19 years	0.1	2	3062053	19819518
Distant	Male	2004	20-24 years	0.2	7	3042914	18257225
Distant	Male	2004	25-29 years	0.5	13	2824098	17722067
Distant	Male	2004	30-34 years	1.0	31	2967704	19511370
Distant	Male	2004	35-39 years	2.3	69	3034156	22179956
Distant	Male	2004	40-44 years	3.0	96	3223156	22479229
Distant	Male	2004	45-49 years	7.4	224	3030315	19805793
Distant	Male	2004	50-54 years	12.6	331	2625180	17224359
Distant	Male	2004	55-59 years	19.4	423	2178589	13307234
Distant	Male	2004	60-64 years	30.8	490	1592002	10654272
Distant	Male	2004	65-69 years	37.8	454	1201227	9409940
Distant	Male	2004	70-74 years	51.9	507	976963	8725574
Distant	Male	2004	75-79 years	60.3	478	793179	7414559
Distant	Male	2004	80-84 years	67.9	375	551878	4900234
Distant	Male	2004	85+ years	68.6	249	362894	4259173
Distant	Male	2005	00 years	0.0	0	581022	3794901
Distant	Male	2005	01-04 years	0.0	0	2291523	15191619
Distant	Male	2005	05-09 years	0.0	0	2776935	19919840
Distant	Male	2005	10-14 years	0.1	2	3077005	20056779
Distant	Male	2005	15-19 years	0.1	2	3037439	19819518
Distant	Male	2005	20-24 years	0.1	4	2966425	18257225
Distant	Male	2005	25-29 years	0.8	21	2795697	17722067
Distant	Male	2005	30-34 years	0.9	25	2817762	19511370
Distant	Male	2005	35-39 years	2.2	64	2950087	22179956
Distant	Male	2005	40-44 years	3.7	116	3111393	22479229
Distant	Male	2005	45-49 years	8.1	243	2996181	19805793
Distant	Male	2005	50-54 years	13.1	343	2616692	17224359
Distant	Male	2005	55-59 years	19.9	444	2230717	13307234
Distant	Male	2005	60-64 years	30.3	486	1602648	10654272
Distant	Male	2005	65-69 years	39.8	475	1194275	9409940
Distant	Male	2005	70-74 years	49.8	474	951777	8725574
Distant	Male	2005	75-79 years	56.9	442	776760	7414559
Distant	Male	2005	80-84 years	63.3	347	547960	4900234
Distant	Male	2005	85+ years	59.7	223	373391	4259173
Distant	Male	2006	00 years	0.0	0	593708	3794901
Distant	Male	2006	01-04 years	0.0	0	2341286	15191619
Distant	Male	2006	05-09 years	0.0	0	2849398	19919840
Distant	Male	2006	10-14 years	0.0	1	3116501	20056779
Distant	Male	2006	15-19 years	0.1	2	3169678	19819518
Distant	Male	2006	20-24 years	0.1	4	3050266	18257225
Distant	Male	2006	25-29 years	0.6	19	2939151	17722067
Distant	Male	2006	30-34 years	1.2	35	2810860	19511370
Distant	Male	2006	35-39 years	2.5	77	3025622	22179956
Distant	Male	2006	40-44 years	4.4	139	3137662	22479229
Distant	Male	2006	45-49 years	7.1	222	3110827	19805793
Distant	Male	2006	50-54 years	13.0	359	2755714	17224359
Distant	Male	2006	55-59 years	19.2	460	2397315	13307234
Distant	Male	2006	60-64 years	27.7	472	1702090	10654272
Distant	Male	2006	65-69 years	39.2	495	1262047	9409940
Distant	Male	2006	70-74 years	46.0	453	983745	8725574
Distant	Male	2006	75-79 years	52.7	422	800825	7414559
Distant	Male	2006	80-84 years	59.8	338	564776	4900234
Distant	Male	2006	85+ years	63.7	256	401935	4259173
Distant	Male	2007	00 years	0.0	0	612468	3794901
Distant	Male	2007	01-04 years	0.0	0	2348109	15191619
Distant	Male	2007	05-09 years	0.0	0	2860839	19919840
Distant	Male	2007	10-14 years	0.0	0	3080047	20056779
Distant	Male	2007	15-19 years	0.1	3	3215423	19819518
Distant	Male	2007	20-24 years	0.2	6	3054081	18257225
Distant	Male	2007	25-29 years	0.4	11	2991760	17722067
Distant	Male	2007	30-34 years	0.7	19	2786372	19511370
Distant	Male	2007	35-39 years	2.1	62	3017191	22179956
Distant	Male	2007	40-44 years	4.1	127	3074201	22479229
Distant	Male	2007	45-49 years	8.3	261	3125909	19805793
Distant	Male	2007	50-54 years	13.3	378	2835421	17224359
Distant	Male	2007	55-59 years	19.4	465	2401058	13307234
Distant	Male	2007	60-64 years	25.1	465	1853435	10654272
Distant	Male	2007	65-69 years	34.1	448	1314657	9409940
Distant	Male	2007	70-74 years	46.9	467	996130	8725574
Distant	Male	2007	75-79 years	52.7	422	801187	7414559
Distant	Male	2007	80-84 years	59.5	339	569632	4900234
Distant	Male	2007	85+ years	66.1	280	423307	4259173
Distant	Male	2008	00 years	0.0	0	610596	3794901
Distant	Male	2008	01-04 years	0.0	0	2370461	15191619
Distant	Male	2008	05-09 years	0.0	0	2891717	19919840
Distant	Male	2008	10-14 years	0.0	0	3050006	20056779
Distant	Male	2008	15-19 years	0.2	6	3243139	19819518
Distant	Male	2008	20-24 years	0.2	7	3066283	18257225
Distant	Male	2008	25-29 years	0.6	19	3044368	17722067
Distant	Male	2008	30-34 years	1.1	32	2803366	19511370
Distant	Male	2008	35-39 years	2.1	62	2986309	22179956
Distant	Male	2008	40-44 years	5.0	150	3023271	22479229
Distant	Male	2008	45-49 years	8.0	252	3131305	19805793
Distant	Male	2008	50-54 years	12.7	369	2908698	17224359
Distant	Male	2008	55-59 years	19.4	475	2451765	13307234
Distant	Male	2008	60-64 years	26.5	515	1943338	10654272
Distant	Male	2008	65-69 years	34.3	478	1394739	9409940
Distant	Male	2008	70-74 years	46.5	475	1021943	8725574
Distant	Male	2008	75-79 years	53.3	427	800676	7414559
Distant	Male	2008	80-84 years	63.8	367	575269	4900234
Distant	Male	2008	85+ years	67.0	297	443599	4259173
Distant	Male	2009	00 years	0.0	0	585573	3794901
Distant	Male	2009	01-04 years	0.0	0	2385515	15191619
Distant	Male	2009	05-09 years	0.0	0	2931909	19919840
Distant	Male	2009	10-14 years	0.0	0	3031579	20056779
Distant	Male	2009	15-19 years	0.1	3	3245554	19819518
Distant	Male	2009	20-24 years	0.3	10	3100804	18257225
Distant	Male	2009	25-29 years	0.5	14	3074983	17722067
Distant	Male	2009	30-34 years	1.1	31	2848607	19511370
Distant	Male	2009	35-39 years	2.2	66	2939622	22179956
Distant	Male	2009	40-44 years	4.1	122	2978263	22479229
Distant	Male	2009	45-49 years	9.0	282	3144431	19805793
Distant	Male	2009	50-54 years	12.4	368	2959637	17224359
Distant	Male	2009	55-59 years	18.7	470	2518596	13307234
Distant	Male	2009	60-64 years	26.0	532	2047922	10654272
Distant	Male	2009	65-69 years	31.7	463	1459621	9409940
Distant	Male	2009	70-74 years	42.9	452	1053320	8725574
Distant	Male	2009	75-79 years	50.3	403	800923	7414559
Distant	Male	2009	80-84 years	57.8	335	579227	4900234
Distant	Male	2009	85+ years	67.5	313	463492	4259173
Distant	Male	2010	00 years	0.0	0	578496	3794901
Distant	Male	2010	01-04 years	0.0	0	2380505	15191619
Distant	Male	2010	05-09 years	0.0	0	2959804	19919840
Distant	Male	2010	10-14 years	0.0	0	3026588	20056779
Distant	Male	2010	15-19 years	0.0	1	3215196	19819518
Distant	Male	2010	20-24 years	0.2	6	3145199	18257225
Distant	Male	2010	25-29 years	0.6	19	3078847	17722067
Distant	Male	2010	30-34 years	1.2	35	2905613	19511370
Distant	Male	2010	35-39 years	2.2	62	2874412	22179956
Distant	Male	2010	40-44 years	4.3	127	2977587	22479229
Distant	Male	2010	45-49 years	9.8	306	3120951	19805793
Distant	Male	2010	50-54 years	13.1	395	3014076	17224359
Distant	Male	2010	55-59 years	18.2	471	2592217	13307234
Distant	Male	2010	60-64 years	25.0	541	2162456	10654272
Distant	Male	2010	65-69 years	34.3	521	1520564	9409940
Distant	Male	2010	70-74 years	42.2	457	1082127	8725574
Distant	Male	2010	75-79 years	45.6	368	806799	7414559
Distant	Male	2010	80-84 years	54.5	321	588996	4900234
Distant	Male	2010	85+ years	65.4	316	482812	4259173
Distant	Male	2011	00 years	0.0	0	585569	3794901
Distant	Male	2011	01-04 years	0.0	0	2368672	15191619
Distant	Male	2011	05-09 years	0.0	0	2963830	19919840
Distant	Male	2011	10-14 years	0.0	0	3020128	20056779
Distant	Male	2011	15-19 years	0.0	1	3161046	19819518
Distant	Male	2011	20-24 years	0.3	9	3229068	18257225
Distant	Male	2011	25-29 years	1.0	30	3108598	17722067
Distant	Male	2011	30-34 years	1.3	40	2969073	19511370
Distant	Male	2011	35-39 years	2.9	82	2816889	22179956
Distant	Male	2011	40-44 years	4.2	127	2995491	22479229
Distant	Male	2011	45-49 years	8.9	273	3071432	19805793
Distant	Male	2011	50-54 years	13.6	414	3047056	17224359
Distant	Male	2011	55-59 years	18.9	503	2662079	13307234
Distant	Male	2011	60-64 years	27.5	623	2261867	10654272
Distant	Male	2011	65-69 years	32.1	506	1577669	9409940
Distant	Male	2011	70-74 years	36.0	403	1118182	8725574
Distant	Male	2011	75-79 years	47.7	390	818205	7414559
Distant	Male	2011	80-84 years	60.7	362	596823	4900234
Distant	Male	2011	85+ years	68.2	342	501275	4259173
Distant	Male	2012	00 years	0.0	0	574852	3794901
Distant	Male	2012	01-04 years	0.0	0	2354121	15191619
Distant	Male	2012	05-09 years	0.0	0	2986829	19919840
Distant	Male	2012	10-14 years	0.0	0	3002865	20056779
Distant	Male	2012	15-19 years	0.0	1	3112682	19819518
Distant	Male	2012	20-24 years	0.4	12	3297976	18257225
Distant	Male	2012	25-29 years	0.8	24	3130294	17722067
Distant	Male	2012	30-34 years	1.1	34	3028777	19511370
Distant	Male	2012	35-39 years	2.4	68	2807973	22179956
Distant	Male	2012	40-44 years	4.7	141	2993638	22479229
Distant	Male	2012	45-49 years	8.7	263	3020812	19805793
Distant	Male	2012	50-54 years	13.7	418	3056907	17224359
Distant	Male	2012	55-59 years	16.4	450	2738397	13307234
Distant	Male	2012	60-64 years	26.3	595	2266213	10654272
Distant	Male	2012	65-69 years	32.7	562	1718992	9409940
Distant	Male	2012	70-74 years	37.0	432	1168835	8725574
Distant	Male	2012	75-79 years	45.7	381	833118	7414559
Distant	Male	2012	80-84 years	52.5	316	602301	4900234
Distant	Male	2012	85+ years	57.2	298	521250	4259173
Distant	Male	2013	00 years	0.0	0	575827	3794901
Distant	Male	2013	01-04 years	0.0	0	2331961	15191619
Distant	Male	2013	05-09 years	0.0	0	3003618	19919840
Distant	Male	2013	10-14 years	0.1	2	2993355	20056779
Distant	Male	2013	15-19 years	0.1	2	3073384	19819518
Distant	Male	2013	20-24 years	0.3	9	3336246	18257225
Distant	Male	2013	25-29 years	0.7	23	3164319	17722067
Distant	Male	2013	30-34 years	1.4	43	3083248	19511370
Distant	Male	2013	35-39 years	3.3	92	2828975	22179956
Distant	Male	2013	40-44 years	4.7	138	2964988	22479229
Distant	Male	2013	45-49 years	9.6	285	2972214	19805793
Distant	Male	2013	50-54 years	14.2	435	3063313	17224359
Distant	Male	2013	55-59 years	19.6	550	2799965	13307234
Distant	Male	2013	60-64 years	24.1	557	2308303	10654272
Distant	Male	2013	65-69 years	29.6	533	1801396	9409940
Distant	Male	2013	70-74 years	37.6	467	1241943	8725574
Distant	Male	2013	75-79 years	45.6	391	857787	7414559
Distant	Male	2013	80-84 years	51.3	311	605757	4900234
Distant	Male	2013	85+ years	54.6	294	538389	4259173
Distant	Male	2014	00 years	0.0	0	577066	3794901
Distant	Male	2014	01-04 years	0.0	0	2331862	15191619
Distant	Male	2014	05-09 years	0.0	0	2993348	19919840
Distant	Male	2014	10-14 years	0.0	1	2990428	20056779
Distant	Male	2014	15-19 years	0.0	0	3043781	19819518
Distant	Male	2014	20-24 years	0.2	7	3351507	18257225
Distant	Male	2014	25-29 years	0.7	24	3230789	17722067
Distant	Male	2014	30-34 years	1.6	51	3123902	19511370
Distant	Male	2014	35-39 years	2.6	75	2867036	22179956
Distant	Male	2014	40-44 years	5.0	146	2920859	22479229
Distant	Male	2014	45-49 years	9.4	277	2936245	19805793
Distant	Male	2014	50-54 years	13.0	400	3067513	17224359
Distant	Male	2014	55-59 years	20.2	575	2845110	13307234
Distant	Male	2014	60-64 years	27.5	651	2367057	10654272
Distant	Male	2014	65-69 years	29.8	564	1890121	9409940
Distant	Male	2014	70-74 years	37.9	492	1299605	8725574
Distant	Male	2014	75-79 years	44.4	394	888200	7414559
Distant	Male	2014	80-84 years	54.5	332	609007	4900234
Distant	Male	2014	85+ years	55.1	306	555031	4259173
